title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Kiss The Rain,4qto2kJITIHyE086P4WtkU,0.557,0.0958,8.0,-18.457,1.0,0.0542,0.99,0.872,0.145,0.202,112.819,audio_features,4qto2kJITIHyE086P4WtkU,spotify:track:4qto2kJITIHyE086P4WtkU,https://api.spotify.com/v1/tracks/4qto2kJITIHyE086P4WtkU,https://api.spotify.com/v1/audio-analysis/4qto2kJITIHyE086P4WtkU,300413.0,4.0
River Flows In You,2agBDIr9MYDUducQPC1sFU,0.315,0.22,9.0,-21.343,1.0,0.0514,0.987,0.943,0.0802,0.116,145.195,audio_features,2agBDIr9MYDUducQPC1sFU,spotify:track:2agBDIr9MYDUducQPC1sFU,https://api.spotify.com/v1/tracks/2agBDIr9MYDUducQPC1sFU,https://api.spotify.com/v1/audio-analysis/2agBDIr9MYDUducQPC1sFU,188787.0,4.0
Reminiscent ,5H9nnDuwE0UCEyQgN42XCs,0.287,0.245,0.0,-17.241,1.0,0.0381,0.982,0.923,0.0876,0.0626,150.269,audio_features,5H9nnDuwE0UCEyQgN42XCs,spotify:track:5H9nnDuwE0UCEyQgN42XCs,https://api.spotify.com/v1/tracks/5H9nnDuwE0UCEyQgN42XCs,https://api.spotify.com/v1/audio-analysis/5H9nnDuwE0UCEyQgN42XCs,192133.0,3.0
Last Carnival,7oh8Z0Z0Sl5gcw3iry3NH2,0.297,0.258,7.0,-10.723,0.0,0.0413,0.968,0.301,0.124,0.143,151.71,audio_features,7oh8Z0Z0Sl5gcw3iry3NH2,spotify:track:7oh8Z0Z0Sl5gcw3iry3NH2,https://api.spotify.com/v1/tracks/7oh8Z0Z0Sl5gcw3iry3NH2,https://api.spotify.com/v1/audio-analysis/7oh8Z0Z0Sl5gcw3iry3NH2,253988.0,3.0
Romance,7fbCwWA3zgOgKmHupdPxmy,0.277,0.18,4.0,-15.441,0.0,0.034,0.991,0.713,0.14,0.086,101.589,audio_features,7fbCwWA3zgOgKmHupdPxmy,spotify:track:7fbCwWA3zgOgKmHupdPxmy,https://api.spotify.com/v1/tracks/7fbCwWA3zgOgKmHupdPxmy,https://api.spotify.com/v1/audio-analysis/7fbCwWA3zgOgKmHupdPxmy,230760.0,4.0
가장 조용했던 밤의 위로,0QvhzKLh35KG6lSpgTkQpt,0.603,0.0994,0.0,-19.746,0.0,0.0459,0.993,0.906,0.137,0.206,135.934,audio_features,0QvhzKLh35KG6lSpgTkQpt,spotify:track:0QvhzKLh35KG6lSpgTkQpt,https://api.spotify.com/v1/tracks/0QvhzKLh35KG6lSpgTkQpt,https://api.spotify.com/v1/audio-analysis/0QvhzKLh35KG6lSpgTkQpt,175073.0,4.0
얼음연못,6cFt9pgcv0E0hUbJJjoSo9,0.405,0.369,9.0,-9.786,0.0,0.0314,0.865,0.657,0.107,0.193,79.484,audio_features,6cFt9pgcv0E0hUbJJjoSo9,spotify:track:6cFt9pgcv0E0hUbJJjoSo9,https://api.spotify.com/v1/tracks/6cFt9pgcv0E0hUbJJjoSo9,https://api.spotify.com/v1/audio-analysis/6cFt9pgcv0E0hUbJJjoSo9,259109.0,3.0
Lake Louise,0ttU0jyIWuYBIQHn8opH2q,0.323,0.157,2.0,-15.61,1.0,0.035,0.994,0.88,0.117,0.084,100.685,audio_features,0ttU0jyIWuYBIQHn8opH2q,spotify:track:0ttU0jyIWuYBIQHn8opH2q,https://api.spotify.com/v1/tracks/0ttU0jyIWuYBIQHn8opH2q,https://api.spotify.com/v1/audio-analysis/0ttU0jyIWuYBIQHn8opH2q,135427.0,4.0
Happy Day,2GgT8sjxJp3vd12UZGEKDQ,0.374,0.231,1.0,-17.659,1.0,0.0501,0.981,0.933,0.289,0.228,77.267,audio_features,2GgT8sjxJp3vd12UZGEKDQ,spotify:track:2GgT8sjxJp3vd12UZGEKDQ,https://api.spotify.com/v1/tracks/2GgT8sjxJp3vd12UZGEKDQ,https://api.spotify.com/v1/audio-analysis/2GgT8sjxJp3vd12UZGEKDQ,201413.0,4.0
Indigo,4MNhEXczXGfJieZWUKi4CT,0.602,0.178,2.0,-14.532,0.0,0.0569,0.992,0.921,0.0899,0.254,145.995,audio_features,4MNhEXczXGfJieZWUKi4CT,spotify:track:4MNhEXczXGfJieZWUKi4CT,https://api.spotify.com/v1/tracks/4MNhEXczXGfJieZWUKi4CT,https://api.spotify.com/v1/audio-analysis/4MNhEXczXGfJieZWUKi4CT,304347.0,3.0
