title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,audio_features,0nJW01T7XtvILxQgC5J7Wh,spotify:track:0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh,213827,4
Treasure,55h7vJchibLdUkxdlX3fK7,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,audio_features,55h7vJchibLdUkxdlX3fK7,spotify:track:55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/tracks/55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/audio-analysis/55h7vJchibLdUkxdlX3fK7,178560,4
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,0.413,0.42,0,-6.444,1,0.0416,0.588,6.39e-05,0.11,0.185,84.126,audio_features,5Nm9ERjJZ5oyfXZTECKmRt,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,172724,4
Call You Mine ,4m5HKGwULoA0SvhaXiDMPR,0.794,0.571,11,-6.436,0,0.0521,0.836,0.0174,0.0918,0.632,90.033,audio_features,4m5HKGwULoA0SvhaXiDMPR,spotify:track:4m5HKGwULoA0SvhaXiDMPR,https://api.spotify.com/v1/tracks/4m5HKGwULoA0SvhaXiDMPR,https://api.spotify.com/v1/audio-analysis/4m5HKGwULoA0SvhaXiDMPR,215125,4
Love On Top,1z6WtY7X4HQJvzxC4UgkSf,0.652,0.749,0,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103,audio_features,1z6WtY7X4HQJvzxC4UgkSf,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf,267413,4
Lay Me Down,5CRmy13zTaajpGN1rBb3IF,0.433,0.35,4,-8.874,1,0.05,0.792,4.86e-05,0.0977,0.178,120.72,audio_features,5CRmy13zTaajpGN1rBb3IF,spotify:track:5CRmy13zTaajpGN1rBb3IF,https://api.spotify.com/v1/tracks/5CRmy13zTaajpGN1rBb3IF,https://api.spotify.com/v1/audio-analysis/5CRmy13zTaajpGN1rBb3IF,254213,4
oui,0PJIbOdMs3bd5AT8liULMQ,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,audio_features,0PJIbOdMs3bd5AT8liULMQ,spotify:track:0PJIbOdMs3bd5AT8liULMQ,https://api.spotify.com/v1/tracks/0PJIbOdMs3bd5AT8liULMQ,https://api.spotify.com/v1/audio-analysis/0PJIbOdMs3bd5AT8liULMQ,238320,5
Slow Motion ,0eOittnGnC26OYAndRitcn,0.454,0.257,8,-8.288,1,0.0347,0.846,0.0,0.186,0.364,153.26,audio_features,0eOittnGnC26OYAndRitcn,spotify:track:0eOittnGnC26OYAndRitcn,https://api.spotify.com/v1/tracks/0eOittnGnC26OYAndRitcn,https://api.spotify.com/v1/audio-analysis/0eOittnGnC26OYAndRitcn,234093,4
Groovin',3IsOOzLVNjyuJs1z2hZN0b,0.847,0.498,10,-5.494,0,0.0335,0.555,0.0,0.11,0.896,105.029,audio_features,3IsOOzLVNjyuJs1z2hZN0b,spotify:track:3IsOOzLVNjyuJs1z2hZN0b,https://api.spotify.com/v1/tracks/3IsOOzLVNjyuJs1z2hZN0b,https://api.spotify.com/v1/audio-analysis/3IsOOzLVNjyuJs1z2hZN0b,224488,4
If You Wonder,5o0yZH55eAwvRDK3EtgRoi,0.519,0.521,4,-6.59,1,0.132,0.675,0.0,0.171,0.634,94.77,audio_features,5o0yZH55eAwvRDK3EtgRoi,spotify:track:5o0yZH55eAwvRDK3EtgRoi,https://api.spotify.com/v1/tracks/5o0yZH55eAwvRDK3EtgRoi,https://api.spotify.com/v1/audio-analysis/5o0yZH55eAwvRDK3EtgRoi,192000,4
Can't Feel My Face,0HehvJvcNHzqCronH48ZLQ,0.611,0.685,9,-6.188,0,0.053,0.0331,0.00954,0.132,0.28,108.002,audio_features,0HehvJvcNHzqCronH48ZLQ,spotify:track:0HehvJvcNHzqCronH48ZLQ,https://api.spotify.com/v1/tracks/0HehvJvcNHzqCronH48ZLQ,https://api.spotify.com/v1/audio-analysis/0HehvJvcNHzqCronH48ZLQ,215587,4
